DRCOV VERSION: 2
DRCOV FLAVOR: drcov-64
Module Table: version 4, count 11
Columns: id, containing_id, start, end, entry, offset, path
  0,   0, 0x00007f66b7f9c000, 0x00007f66b7f9e000, 0x00007f66b7f9c8f0, 0000000000000000,  /home/fredrik/subset/dynamorio/build/clients/lib64/release/libdrcov.so
  1,   0, 0x00007f66b819d000, 0x00007f66b819f000, 0x00007f66b7f9c8f0, 0000000000001e68,  /home/fredrik/subset/dynamorio/build/clients/lib64/release/libdrcov.so
  2,   2, 0x00007f6737d95000, 0x00007f6737d99000, 0x00007f6737d95ef0, 0000000000000000,  /home/fredrik/subset/test/cov/cov.o
  3,   2, 0x00007f6737f99000, 0x00007f6737f9c000, 0x00007f6737d95ef0, 0000000000004cd0,  /home/fredrik/subset/test/cov/cov.o
  4,   4, 0x00007f673bd72000, 0x00007f673bd99000, 0x00007f673bd73090, 0000000000000000,  /lib/x86_64-linux-gnu/ld-2.27.so
  5,   4, 0x00007f673bf99000, 0x00007f673bf9c000, 0x00007f673bd73090, 0000000000027680,  /lib/x86_64-linux-gnu/ld-2.27.so
  6,   6, 0x00007f673bf9d000, 0x00007f673c100000, 0x00007f673c0985b1, 0000000000000000,  /home/fredrik/subset/dynamorio/build/lib64/release/libdynamorio.so
  7,   6, 0x00007f673c300000, 0x00007f673c370000, 0x00007f673c0985b1, 00000000001631a0,  /home/fredrik/subset/dynamorio/build/lib64/release/libdynamorio.so
  8,   8, 0x00007ffd199e8000, 0x00007ffd199ea000, 0x00007ffd199e8970, 0000000000000000,  [vdso]
  9,   9, 0x00007f673b94e000, 0x00007f673bb35000, 0x00007f673b96fcb0, 0000000000000000,  /lib/x86_64-linux-gnu/libc-2.27.so
 10,   9, 0x00007f673bd35000, 0x00007f673bd3f000, 0x00007f673b96fcb0, 00000000001e7620,  /lib/x86_64-linux-gnu/libc-2.27.so
BB Table: 3129 bbs
module id, start, size:
module[  4]: 0x000000000001b039,  17
module[  4]: 0x000000000001afa1,  53
module[  4]: 0x000000000001acce,  11
module[  4]: 0x000000000001acd9,  15
module[  4]: 0x000000000001ace8,  45
module[  4]: 0x0000000000019250,  38
module[  4]: 0x0000000000019280,  25
module[  4]: 0x00000000000192a8,   2
module[  4]: 0x000000000001ad15,  15
module[  4]: 0x0000000000019276,   6
module[  4]: 0x000000000001ad24,  27
module[  4]: 0x000000000001ad3f,  27
module[  4]: 0x000000000001ad5a,  36
module[  4]: 0x000000000001ae90,  11
module[  4]: 0x000000000001aef0,  16
module[  4]: 0x000000000001af00,  22
module[  4]: 0x000000000001af16,  22
module[  4]: 0x000000000001af2c,   9
module[  4]: 0x000000000001aec0,  12
module[  4]: 0x000000000001ad8a,   5
module[  4]: 0x000000000001f2f0,  38
module[  4]: 0x000000000001f316,  16
module[  4]: 0x000000000001f326,   4
module[  4]: 0x000000000001ad8f,  14
module[  4]: 0x000000000001bf10,  21
module[  4]: 0x000000000001bf25,  10
module[  4]: 0x000000000001bf41,   6
module[  4]: 0x000000000001bf67,  10
module[  4]: 0x000000000001ad9d,  16
module[  4]: 0x000000000001adad,  14
module[  4]: 0x000000000001adbb,  21
module[  4]: 0x0000000000002660, 174
module[  4]: 0x000000000001b3f0,  11
module[  4]: 0x000000000001b40c,   5
module[  4]: 0x000000000001b400,  12
module[  4]: 0x000000000001b411,   6
module[  4]: 0x000000000001b417,   6
module[  4]: 0x000000000001b41d,  12
module[  4]: 0x000000000000270e,  12
module[  4]: 0x000000000000271a,   8
module[  4]: 0x0000000000002722,   6
module[  4]: 0x0000000000002735,  13
module[  4]: 0x0000000000002730,   5
module[  4]: 0x0000000000002742,   5
module[  4]: 0x0000000000002747,  10
module[  4]: 0x0000000000002751,  16
module[  4]: 0x00000000000028f0,  14
module[  4]: 0x00000000000028fe,  20
module[  4]: 0x000000000001ecd0,   9
module[  4]: 0x000000000001ecd9,  10
module[  4]: 0x000000000001ece3,  16
module[  4]: 0x000000000001ecf3,   9
module[  4]: 0x000000000001ed19,   9
module[  4]: 0x000000000001ed37,   9
module[  4]: 0x000000000001ed40,  11
module[  4]: 0x000000000001ed4b,   8
module[  4]: 0x000000000001ed53,   9
module[  4]: 0x000000000001ed5c,  13
module[  4]: 0x000000000001eda9,   5
module[  4]: 0x000000000001edd0,   3
module[  4]: 0x0000000000002912,   8
module[  4]: 0x00000000000055cc,  16
module[  4]: 0x0000000000002702,  12
module[  4]: 0x000000000001b400,  12
module[  4]: 0x000000000001b40c,   5
module[  4]: 0x000000000001b430,   2
module[  4]: 0x0000000000002ab8,  14
module[  4]: 0x0000000000002ac6,  10
module[  4]: 0x0000000000002ad9,  17
module[  4]: 0x0000000000002eab,  28
module[  4]: 0x000000000000c090,  49
module[  4]: 0x000000000000c0c1,  64
module[  4]: 0x0000000000000ec0,   6
module[  4]: 0x000000000001b5e0,  23
module[  4]: 0x000000000001b5fc,   5
module[  4]: 0x0000000000000ea0,   6
module[  4]: 0x000000000001b4b0,  16
module[  4]: 0x000000000001b590,  37
module[  4]: 0x000000000001b4c7,  24
module[  4]: 0x000000000001b4df,  15
module[  4]: 0x000000000001b578,  18
module[  4]: 0x000000000000c101,  12
module[  4]: 0x000000000000c10d,  59
module[  4]: 0x000000000001f840,   9
module[  4]: 0x000000000001f860,   5
module[  4]: 0x000000000001f865,   5
module[  4]: 0x000000000001f86a,   5
module[  4]: 0x000000000001f86f,   2
module[  4]: 0x000000000001f871,   6
module[  4]: 0x000000000000c148,  76
module[  4]: 0x000000000000c300,  15
module[  4]: 0x000000000000c194,  16
module[  4]: 0x000000000000c1a4,  40
module[  4]: 0x000000000000c1c0,  12
module[  4]: 0x000000000000c1cc,  53
module[  4]: 0x000000000000c3b8,  11
module[  4]: 0x000000000000c3c3,   8
module[  4]: 0x000000000000c237,  38
module[  4]: 0x000000000000c2e9,  18
module[  4]: 0x0000000000002ec7,  12
module[  4]: 0x0000000000002ed3,  43
module[  4]: 0x000000000000c000,  30
module[  4]: 0x00000000000010e0,   5
module[  4]: 0x000000000000c01e,  19
module[  4]: 0x000000000000c031,   2
module[  4]: 0x000000000000c088,   5
module[  4]: 0x000000000000c04d,  56
module[  4]: 0x00000000000010f0,   5
module[  4]: 0x0000000000002efe,  13
module[  4]: 0x0000000000002f0b,  74
module[  4]: 0x0000000000002f55,  32
module[  4]: 0x0000000000002f9d,  11
module[  4]: 0x0000000000003900,  15
module[  4]: 0x0000000000002f90,  13
module[  4]: 0x0000000000002fa8,   2
module[  4]: 0x0000000000002f75,   9
module[  4]: 0x0000000000002f7e,   9
module[  4]: 0x000000000000389c,  31
module[  4]: 0x00000000000038bb,  11
module[  4]: 0x0000000000002f87,   9
module[  4]: 0x0000000000003950,  25
module[  4]: 0x0000000000003969,  23
module[  4]: 0x0000000000003980,  17
module[  4]: 0x0000000000003991,  13
module[  4]: 0x000000000000399e,  12
module[  4]: 0x0000000000003970,  16
module[  4]: 0x00000000000038c6,  16
module[  4]: 0x0000000000002faa,  12
module[  4]: 0x0000000000002fb6,  12
module[  4]: 0x0000000000002fc2,   5
module[  4]: 0x00000000000039cb,  14
module[  4]: 0x00000000000039b0,  27
module[  4]: 0x0000000000003034,  12
module[  4]: 0x000000000000304a,  10
module[  4]: 0x000000000000305f,  10
module[  4]: 0x0000000000003074,  16
module[  4]: 0x0000000000003084,  12
module[  4]: 0x0000000000003090,  33
module[  4]: 0x000000000001d360,  17
module[  4]: 0x000000000001d371,   5
module[  4]: 0x000000000001d3b0,  26
module[  4]: 0x000000000001d3ca,   2
module[  4]: 0x000000000001d3cc,  32
module[  4]: 0x000000000001de90,  48
module[  4]: 0x000000000001e755,  13
module[  4]: 0x000000000001e762,  29
module[  4]: 0x00000000000030b1,   4
module[  4]: 0x00000000000030b5,  46
module[  4]: 0x00000000000030e3,  24
module[  4]: 0x00000000000030fb,   9
module[  4]: 0x0000000000003104,  13
module[  4]: 0x0000000000003111,  12
module[  4]: 0x000000000000311d,  54
module[  4]: 0x000000000000316c,  16
module[  4]: 0x000000000000314d,   6
module[  4]: 0x0000000000003153,  16
module[  4]: 0x000000000000390f,  10
module[  4]: 0x0000000000003926,  16
module[  4]: 0x0000000000003b4e,  16
module[  4]: 0x0000000000003b5e,  16
module[  4]: 0x0000000000003170,  12
module[  4]: 0x0000000000003163,  25
module[  4]: 0x000000000000317c,   8
module[  4]: 0x0000000000003184,   9
module[  4]: 0x0000000000003191,   9
module[  4]: 0x000000000000319a,  13
module[  4]: 0x00000000000031a7,  13
module[  4]: 0x00000000000031b4,  13
module[  4]: 0x00000000000031c1,  16
module[  4]: 0x00000000000031d1,  16
module[  4]: 0x00000000000031e1,  16
module[  4]: 0x00000000000031f1,  16
module[  4]: 0x0000000000003201,  11
module[  4]: 0x000000000000320c,   7
module[  4]: 0x0000000000003213,  18
module[  4]: 0x0000000000003225,  12
module[  4]: 0x0000000000003231,  16
module[  4]: 0x0000000000003248,   5
module[  4]: 0x0000000000003254,   5
module[  4]: 0x0000000000003259,  19
module[  4]: 0x000000000000326c,  26
module[  4]: 0x0000000000003286,   5
module[  4]: 0x000000000000328b,  24
module[  4]: 0x00000000000032ae,   8
module[  4]: 0x00000000000032b6,  13
module[  4]: 0x00000000000032c3,  14
module[  4]: 0x00000000000032d1,  28
module[  4]: 0x000000000001b4c0,  31
module[  4]: 0x000000000000c201,  23
module[  4]: 0x000000000000c218,   8
module[  4]: 0x000000000000c317,  16
module[  4]: 0x000000000000c327,  11
module[  4]: 0x000000000000c3d0,  12
module[  4]: 0x000000000000c23e,  31
module[  4]: 0x00000000000032ed,  12
module[  4]: 0x00000000000032f9,  37
module[  4]: 0x000000000000331e,   4
module[  4]: 0x0000000000003347,   7
module[  4]: 0x0000000000003328,   9
module[  4]: 0x0000000000003450,  10
module[  4]: 0x000000000000345a,  16
module[  4]: 0x000000000000346a,  17
module[  4]: 0x000000000000347b,  13
module[  4]: 0x0000000000003488,  12
module[  4]: 0x000000000000333a,  13
module[  4]: 0x000000000000334e,  36
module[  4]: 0x0000000000003331,   9
module[  4]: 0x0000000000003372,  47
module[  4]: 0x00000000000033a1,  12
module[  4]: 0x00000000000033ad,  50
module[  4]: 0x00000000000033fa,  16
module[  4]: 0x00000000000033d9,   6
module[  4]: 0x00000000000033df,  16
module[  4]: 0x0000000000003811,  14
module[  4]: 0x0000000000003a66,  12
module[  4]: 0x0000000000003acf,  16
module[  4]: 0x0000000000003adf,  16
module[  4]: 0x00000000000033fe,  12
module[  4]: 0x00000000000033ef,  27
module[  4]: 0x000000000000340a,   9
module[  4]: 0x0000000000003413,   9
module[  4]: 0x000000000000341c,  42
module[  4]: 0x0000000000003496,   9
module[  4]: 0x00000000000034c8,   9
module[  4]: 0x00000000000034d1,  50
module[  4]: 0x0000000000003503,  50
module[  4]: 0x000000000000355e,  12
module[  4]: 0x0000000000003596,  12
module[  4]: 0x00000000000035a2,  56
module[  4]: 0x00000000000035da,  50
module[  4]: 0x0000000000003617,   7
module[  4]: 0x0000000000003630,  12
module[  4]: 0x000000000000363c,  15
module[  4]: 0x000000000000364b,  12
module[  4]: 0x000000000000365e,   5
module[  4]: 0x000000000000366a,  12
module[  4]: 0x00000000000036a2,  10
module[  4]: 0x00000000000036b7,   8
module[  4]: 0x00000000000036bf,  50
module[  4]: 0x00000000000036f1,  20
module[  4]: 0x0000000000003705,  12
module[  4]: 0x0000000000003711,   9
module[  4]: 0x000000000000371a,  14
module[  4]: 0x000000000001f849,   6
module[  4]: 0x000000000001f84f,  17
module[  4]: 0x0000000000003728,  21
module[  4]: 0x000000000000c03b,   9
module[  4]: 0x000000000000c044,  65
module[  4]: 0x000000000000373d,  11
module[  4]: 0x0000000000003748,  10
module[  4]: 0x0000000000003752,  48
module[  4]: 0x000000000001b210,  27
module[  4]: 0x000000000001b22b,  24
module[  4]: 0x000000000001b243,   9
module[  4]: 0x000000000001b261,   5
module[  4]: 0x000000000001b250,  17
module[  4]: 0x000000000001b266,  19
module[  4]: 0x000000000001b279,   9
module[  4]: 0x000000000001b2b1,  22
module[  4]: 0x000000000001b2c7,  11
module[  4]: 0x000000000001b2d2,  15
module[  4]: 0x0000000000003782,  11
module[  4]: 0x000000000000378d,  14
module[  4]: 0x000000000000379b,  17
module[  4]: 0x0000000000003c1a,  12
module[  4]: 0x0000000000008a40,  54
module[  4]: 0x000000000000f620,  62
module[  4]: 0x000000000000f65e,  29
module[  4]: 0x000000000000f67b,  48
module[  4]: 0x000000000000f688,  35
module[  4]: 0x000000000000f6ab,  16
module[  4]: 0x000000000000f6bb,  24
module[  4]: 0x000000000000f6d3,  16
module[  4]: 0x000000000000f6f9,   6
module[  4]: 0x000000000000f6e8,  17
module[  4]: 0x000000000000f6ff,  14
module[  4]: 0x000000000000f70d,  12
module[  4]: 0x000000000000f719,  24
module[  4]: 0x000000000000f731,  16
module[  4]: 0x000000000000f76d,  11
module[  4]: 0x000000000000f748,  37
module[  4]: 0x000000000000f7c0,  30
module[  4]: 0x000000000000f7de,   8
module[  4]: 0x000000000000f7e6,  11
module[  4]: 0x000000000000f7f1,  36
module[  4]: 0x000000000000f90b,  26
module[  4]: 0x000000000000f925,  28
module[  4]: 0x000000000000f9a0,   6
module[  4]: 0x000000000000f930,  17
module[  4]: 0x000000000000f941,  37
module[  4]: 0x000000000000f966,  44
module[  4]: 0x000000000000f9a6,  13
module[  4]: 0x000000000000f9b3,  52
module[  4]: 0x000000000000f9e7,  18
module[  4]: 0x000000000000f9f9,  40
module[  4]: 0x000000000000fa21,  40
module[  4]: 0x000000000000fa49,  10
module[  4]: 0x000000000000fdc3,  10
module[  4]: 0x000000000000fa79,  64
module[  4]: 0x000000000000fab9,  19
module[  4]: 0x000000000000facc,  66
module[  4]: 0x000000000000fb0e,  91
module[  4]: 0x000000000001f830,   8
module[  4]: 0x000000000001f843,   6
module[  4]: 0x000000000001f895,  17
module[  4]: 0x000000000000fb69,  17
module[  4]: 0x000000000000fb8a,  15
module[  4]: 0x000000000000fb99,  16
module[  4]: 0x000000000001f888,  13
module[  4]: 0x000000000000fba9,  13
module[  4]: 0x000000000000fbb6,  12
module[  4]: 0x000000000000fbc2,  12
module[  4]: 0x000000000000fb58,  17
module[  4]: 0x000000000000fb80,  10
module[  4]: 0x000000000000fbce,  54
module[  4]: 0x000000000000fbf0,  20
module[  4]: 0x000000000000fc04,  12
module[  4]: 0x000000000000fc10,  52
module[  4]: 0x000000000000fc44,  24
module[  4]: 0x000000000000fc5c,   9
module[  4]: 0x000000000000fc3b,   9
module[  4]: 0x000000000000fc65,   9
module[  4]: 0x000000000000fc28,  28
module[  4]: 0x000000000000fc6e,  42
module[  4]: 0x000000000000fc98,  18
module[  4]: 0x000000000000fcaa,  21
module[  4]: 0x000000000000fca0,  10
module[  4]: 0x000000000000fd08,  17
module[  4]: 0x000000000000fd19,   2
module[  4]: 0x000000000000fcbf,  54
module[  4]: 0x000000000000fce0,  21
module[  4]: 0x000000000000fcf5,  16
module[  4]: 0x000000000000f8ec,  18
module[  4]: 0x0000000000008a76,  17
module[  4]: 0x0000000000008a87,  16
module[  4]: 0x0000000000008a97,  62
module[  4]: 0x0000000000008ad5,  15
module[  4]: 0x0000000000008ae4,  90
module[  4]: 0x0000000000008b3e,  15
module[  4]: 0x000000000001fa20,  30
module[  4]: 0x000000000001fa3e,   6
module[  4]: 0x000000000001fa44,  11
module[  4]: 0x0000000000008b4d,  10
module[  4]: 0x0000000000008b57,  69
module[  4]: 0x0000000000008b9c,  10
module[  4]: 0x0000000000008bb0,  39
module[  4]: 0x0000000000008bd7,  18
module[  4]: 0x0000000000008be9,  12
module[  4]: 0x0000000000008c58,  30
module[  4]: 0x0000000000008d78,  12
module[  4]: 0x0000000000008c2c,   9
module[  4]: 0x0000000000008c35,   5
module[  4]: 0x0000000000008ca8,  11
module[  4]: 0x0000000000008cb3,  32
module[  4]: 0x000000000001f877,  17
module[  4]: 0x0000000000008cd3,  14
module[  4]: 0x0000000000008ce1,  26
module[  4]: 0x0000000000008d05,  11
module[  4]: 0x0000000000008cf0,  11
module[  4]: 0x0000000000008d10,  13
module[  4]: 0x0000000000008d1d,  16
module[  4]: 0x0000000000008d2d,  31
module[  4]: 0x0000000000008470,  79
module[  4]: 0x000000000001b930,   5
module[  4]: 0x000000000001b935,   8
module[  4]: 0x000000000001b93d,   7
module[  4]: 0x000000000001b944,  17
module[  4]: 0x000000000001b961,   4
module[  4]: 0x000000000001b958,   9
module[  4]: 0x000000000001b978,  12
module[  4]: 0x000000000001b950,   5
module[  4]: 0x000000000001b984,   4
module[  4]: 0x000000000001b96d,   5
module[  4]: 0x00000000000084bf,  12
module[  4]: 0x00000000000084cb,  10
module[  4]: 0x00000000000084d5,  13
module[  4]: 0x0000000000008340,  29
module[  4]: 0x000000000001f0d0,  35
module[  4]: 0x000000000001f0f3,  32
module[  4]: 0x000000000001f113,  20
module[  4]: 0x000000000000835d,   5
module[  4]: 0x0000000000008362,  18
module[  4]: 0x000000000001d310,  14
module[  4]: 0x000000000001d31e,  12
